,BOL,ICD1,ICD2
0,0.06978981424524294,0.07231708521131405,0.06955737656004846
5,0.06978981424524294,0.07231708521131405,0.06955737656004846
10,0.06978981424524294,0.07231708521131405,0.07044090533288301
15,0.06978981424524294,0.07231708521131405,0.07277542095594697
20,0.07119073852003172,0.07416348158420903,0.07175133221851225
25,0.07095280988344668,0.07383469545724783,0.07051634269087674
30,0.06751678579845842,0.06948550350880356,0.06966998872639375
35,0.06606788525667742,0.06896802278842017,0.06937177578414028
40,0.06594294698754326,0.06887921212159051,0.06931195891736529
45,0.06748408901904467,0.06861616224665552,0.06952421708065885
50,0.06759618287029939,0.06882076960350886,0.07084597858479638
55,0.0684298014123709,0.06920488211008113,0.07209846025977679
60,0.07082155395116715,0.06978250840116329,0.07296888024327951
65,0.07529193452693474,0.08017699173547121,0.08951671033278909
70,0.07829042000923907,0.08756942380879425,0.10109848562337652
